id,name,name_en,district_id,district_name,sub_district_id,sub_district_name,municipal_status_id,municipal_status_name,coordinates_itm_east,coordinates_itm_north,coordinates_wgs84_latitude,coordinates_wgs84_longitude,population,natural_region_id,natural_region_name,type_of_locality_id,type_of_locality_group,type_of_locality_form,local_authorities_cluster_id,local_authorities_cluster_name,previous_names,merged_locality_names
472,"אבו גוש","Abu Ghosh",1,"ירושלים",11,"ירושלים",99,"מועצה מקומית",210520,634810,31.80606,35.11014,7881,111,"הרי יהודה",280,"יישוב עירוני","יישובים לא יהודיים 9,999-5,000 תושבים",,,,
473,"אבו סנאן","Abu Sinan",2,"הצפון",24,"עכו",99,"מועצה מקומית",216180,762890,32.96106,35.16947,14455,245,"אזור נהריה",270,"יישוב עירוני","יישובים לא יהודיים 19,999-10,000 תושבים",,,,
1342,"אבו קורינאת (יישוב)","Abu Qureinat",6,"הדרום",62,"באר שבע",68,"מועצה אזורית נווה מדבר",196360,561050,31.14064,34.96232,2081,623,"אזור באר שבע",290,"יישוב עירוני","יישובים לא יהודיים 4,999-2,000 תושבים",610,"אשכול רשויות נגב מזרחי",,
1375,"אבו תלול","Abu Tulul",6,"הדרום",62,"באר שבע",68,"מועצה אזורית נווה מדבר",193340,565890,31.18423,34.93053,2330,623,"אזור באר שבע",290,"יישוב עירוני","יישובים לא יהודיים 4,999-2,000 תושבים",610,"אשכול רשויות נגב מזרחי",,
652,"אבטין","Ibtin",3,"חיפה",31,"חיפה",12,"מועצה אזורית זבולון",210920,740770,32.76158,35.11341,2900,311,"אזור חיפה",290,"יישוב עירוני","יישובים לא יהודיים 4,999-2,000 תושבים",310,"אשכול רשויות המפרץ",,
1275,"אבטליון","Avtalyon",2,"הצפון",24,"עכו",56,"מועצה אזורית משגב",233240,749080,32.83646,35.35173,475,241,"אזור שפרעם",370,"יישוב כפרי","יישובים קהילתיים",210,"אשכול רשויות בית הכרם הגלילי",,
679,"אביאל","Avi'el",3,"חיפה",32,"חדרה",45,"מועצה אזורית אלונה",199610,715330,32.53204,34.99325,820,324,"אזור חדרה",310,"יישוב כפרי","מושבים",,,,
1115,"אביבים","Avivim",2,"הצפון",21,"צפת",2,"מועצה אזורית מרום הגליל",244410,777070,33.08864,35.47179,470,212,"גליל עליון מזרחי",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
819,"אביגדור","Avigedor",6,"הדרום",61,"אשקלון",33,"מועצה אזורית באר טוביה",175730,624280,31.7103,34.74322,806,611,"אזור מלאכי",310,"יישוב כפרי","מושבים",420,"אשכול רשויות שורק דרומי",,
175,"אביחיל","Avihayil",4,"המרכז",41,"השרון",16,"מועצה אזורית עמק חפר",188080,695270,32.35089,34.87119,1402,411,"מערב השרון",310,"יישוב כפרי","מושבים",,,,
2052,"אביטל","Avital",2,"הצפון",23,"יזרעאל",8,"מועצה אזורית הגלבוע",229120,718160,32.55769,35.30741,489,234,"עמק יזרעאל",310,"יישוב כפרי","מושבים",213,"אשכול רשויות הגליל והעמקים",,
